k,task,size_class,parent_iso_key,motif_position,part_idx,n_topo_in_size,n_topo_with_motif_in_size,presence_designs_top_01,presence_designs_top_05,presence_designs_top_10,presence_designs_top_25,presence_designs_bot_01,presence_designs_bot_05,presence_designs_bot_10,presence_designs_bot_25
5,circuit,6,0000000001000011000000010,3,9,63,12,123444,447685,0,1041569,99146,565148,0,2186166
5,circuit,6,0000000001000011000000010,3,10,63,12,123932,270108,0,570263,96064,449677,0,1412841
5,circuit,6,0000000001000011000000010,3,16,63,12,118498,225833,0,462142,94420,397505,0,1161827
5,circuit,6,0000000001000011000000010,4,0,63,12,183091,488937,0,1688923,166368,713536,0,2287428
5,circuit,6,0000000001000011000000010,4,6,63,12,75731,377437,0,1511816,93737,478359,0,1988482
5,circuit,6,0000000001000011000000010,4,8,63,12,78986,377046,0,1517068,94344,479128,0,2000886
5,circuit,6,0000000001000011000000010,4,9,63,12,93956,382634,0,1524848,101762,470392,0,2035137
5,circuit,6,0000000001000011000000010,4,10,63,12,29967,156188,0,770970,53252,293636,0,1162850
5,circuit,6,0000000001000011000000010,4,16,63,12,40907,172651,0,621209,61519,265668,0,935614
5,circuit,6,0000000000000010010011000,0,11,63,6,65782,118063,0,665934,36221,171223,0,897174
5,circuit,6,0000000000000010010011000,0,12,63,6,51839,102590,0,647023,41855,186368,0,933987
5,circuit,6,0000000000000010010011000,0,14,63,6,46606,116283,0,746627,42003,240053,0,1116975
5,circuit,6,0000000000000010010011000,1,11,63,6,7700,63721,0,605094,55306,199667,0,917011
5,circuit,6,0000000000000010010011000,1,12,63,6,6529,56219,0,609431,51326,200902,0,917572
5,circuit,6,0000000000000010010011000,1,14,63,6,14201,68134,0,679767,57571,274651,0,1133928
5,circuit,6,0000000000000010010011000,1,19,63,6,11879,46669,0,451129,10935,122732,0,688889
5,circuit,6,0000000000000010010011000,2,1,63,6,19868,90530,0,966100,71709,364385,0,1505192
5,circuit,6,0000000000000010010011000,2,2,63,6,13990,70417,0,842300,83786,421253,0,1618100
5,circuit,6,0000000000000010010011000,2,3,63,6,19491,59108,0,424509,17991,155094,0,734259
5,circuit,6,0000000000000010010011000,2,4,63,6,15016,52320,0,534955,27601,176223,0,768681
5,circuit,6,0000000000000010010011000,2,5,63,6,15577,52713,0,530242,25850,169432,0,769816
5,circuit,6,0000000000000010010011000,2,7,63,6,8173,62142,0,830460,103114,440538,0,1612076
5,circuit,6,0000000000000010010011000,2,13,63,6,4215,39164,0,751260,110744,461612,0,1729189
5,circuit,6,0000000000000010010011000,2,17,63,6,7494,34209,0,412623,29508,169436,0,725410
5,circuit,6,0000000000000010010011000,2,18,63,6,5505,29574,0,399318,32461,180857,0,746044
5,circuit,6,0000000000000010010011000,2,19,63,6,10920,42189,0,431386,27353,159874,0,709961
5,circuit,6,0000000000000010010011000,3,1,63,6,28578,128959,0,945526,80729,349958,0,1343759
5,circuit,6,0000000000000010010011000,3,2,63,6,22710,98975,0,984208,65369,294423,0,1242749
5,circuit,6,0000000000000010010011000,3,4,63,6,8164,34109,0,463769,45747,197188,0,905500
5,circuit,6,0000000000000010010011000,3,5,63,6,7864,32315,0,426739,47545,200672,0,949620
5,circuit,6,0000000000000010010011000,3,7,63,6,29382,115224,0,935391,70807,298883,0,1255745
5,circuit,6,0000000000000010010011000,3,13,63,6,22355,99820,0,963600,58611,270952,0,1169223
5,circuit,6,0000000000000010010011000,3,17,63,6,11727,43447,0,444339,27961,132640,0,585997
5,circuit,6,0000000000000010010011000,3,18,63,6,12256,44626,0,446049,26089,126985,0,570708
5,circuit,6,0000000000000010010011000,3,19,63,6,12897,50469,0,459637,26085,131682,0,590814
5,circuit,6,0000000000000010010011000,4,1,63,6,7649,56328,0,920936,62634,299789,0,1638327
5,circuit,6,0000000000000010010011000,4,2,63,6,36769,155511,0,1128966,19674,193718,0,1168850
5,circuit,6,0000000000000010010011000,4,11,63,6,31899,113014,0,614951,15411,121997,0,698792
5,circuit,6,0000000000000010010011000,4,12,63,6,34072,113336,0,623613,12171,114455,0,701735
5,circuit,6,0000000000000010010011000,4,17,63,6,6877,42879,0,569253,10187,89905,0,572391
5,circuit,6,0000000000000010010011000,4,19,63,6,9669,49846,0,541126,16482,101435,0,563863
5,circuit,6,0000000000000010010011000,0,2,63,6,25806,133661,0,1031695,71725,345668,0,1595889
5,circuit,6,0000000000000010010011000,0,3,63,6,18633,83794,0,410655,10735,261541,0,963187
5,circuit,6,0000000000000010010011000,0,4,63,6,12978,92600,0,519963,29138,136363,0,919884
5,circuit,6,0000000000000010010011000,0,5,63,6,20922,101410,0,500717,26737,138974,0,932869
5,circuit,6,0000000000000010010011000,0,7,63,6,0,31401,0,1035340,31460,284443,0,1478523
