task,fp_key,depth_to_output,depth_from_input,in_degree,out_degree,predecessor_depth_signature,successor_depth_signature,node_type,part_idx,part_name,top_count,bot_count,log_odds,n_topologies,n_targets,total_designs
circuit_log,"d2o=2|dfi=2|in=2|out=1|pred=0,1|succ=1|type=NOR",2,2,2,1,"0,1",1,NOR,4,BM3R1/B2,400632,131736,1.6046206587026313,25,15,532368
circuit_log,"d2o=2|dfi=2|in=2|out=1|pred=0,1|succ=1|type=NOR",2,2,2,1,"0,1",1,NOR,5,BM3R1/B3,384635,124548,1.6267803597433101,25,15,509183
circuit_log,"d2o=2|dfi=2|in=2|out=1|pred=0,1|succ=1|type=NOR",2,2,2,1,"0,1",1,NOR,6,HlyIIR/H1,255854,682730,-1.4159908329693665,25,15,938584
circuit_log,"d2o=2|dfi=2|in=2|out=1|pred=0,1|succ=1|type=NOR",2,2,2,1,"0,1",1,NOR,7,IcaRA/I1,837592,329837,1.3444917668469554,25,15,1167429
circuit_log,"d2o=2|dfi=2|in=2|out=1|pred=0,1|succ=1|type=NOR",2,2,2,1,"0,1",1,NOR,8,LitR/L1,262430,657161,-1.324310909488233,25,15,919591
circuit_log,"d2o=2|dfi=2|in=2|out=1|pred=0,1|succ=1|type=NOR",2,2,2,1,"0,1",1,NOR,9,LmrA/N1,263218,513964,-0.965406486852283,25,15,777182
circuit_log,"d2o=2|dfi=2|in=2|out=1|pred=0,1|succ=1|type=NOR",2,2,2,1,"0,1",1,NOR,10,PhlF/P1,124718,397960,-1.6739457885970135,25,15,522678
circuit_log,"d2o=2|dfi=2|in=2|out=1|pred=0,1|succ=1|type=NOR",2,2,2,1,"0,1",1,NOR,11,PhlF/P2,512377,152319,1.7501031481812421,25,15,664696
circuit_log,"d2o=2|dfi=2|in=2|out=1|pred=0,1|succ=1|type=NOR",2,2,2,1,"0,1",1,NOR,12,PhlF/P3,517687,158503,1.7075636283242923,25,15,676190
circuit_log,"d2o=2|dfi=2|in=2|out=1|pred=0,1|succ=1|type=NOR",2,2,2,1,"0,1",1,NOR,13,PsrA/R1,832817,375561,1.1489501544242824,25,15,1208378
circuit_log,"d2o=2|dfi=2|in=2|out=1|pred=0,1|succ=1|type=NOR",2,2,2,1,"0,1",1,NOR,14,QacR/Q1,582769,203485,1.5179970725178118,25,15,786254
circuit_log,"d2o=2|dfi=2|in=2|out=1|pred=0,1|succ=1|type=NOR",2,2,2,1,"0,1",1,NOR,15,QacR/Q2,555520,246879,1.1700314828886895,25,15,802399
circuit_log,"d2o=2|dfi=2|in=2|out=1|pred=0,1|succ=1|type=NOR",2,2,2,1,"0,1",1,NOR,16,SrpR/S1,107431,365922,-1.7681163161989308,25,15,473353
circuit_log,"d2o=2|dfi=2|in=2|out=1|pred=0,1|succ=1|type=NOR",2,2,2,1,"0,1",1,NOR,17,SrpR/S2,347068,106793,1.700391915778714,25,15,453861
circuit_log,"d2o=2|dfi=2|in=2|out=1|pred=0,1|succ=1|type=NOR",2,2,2,1,"0,1",1,NOR,18,SrpR/S3,346027,129266,1.4205347601034015,25,15,475293
circuit_log,"d2o=2|dfi=2|in=2|out=1|pred=0,1|succ=1|type=NOR",2,2,2,1,"0,1",1,NOR,19,SrpR/S4,372901,119456,1.6423051387711076,25,15,492357
circuit_log,"d2o=3|dfi=1|in=2|out=2|pred=0,0|succ=1,2|type=NOR",3,1,2,2,"0,0","1,2",NOR,0,AmeR/F1,0,0,0.0,2,4,0
circuit_log,"d2o=3|dfi=1|in=2|out=2|pred=0,0|succ=1,2|type=NOR",3,1,2,2,"0,0","1,2",NOR,1,AmtR/A1,3035,1529,0.9886401378354522,2,4,4564
